"";"genre_Adventure";"genre_Action";"genre_Comedy";"genre_Drama";"genre_Film_Noir";"genre_Romance";"genre_Sci_Fi";"genre_Thriller";"genre_Animation";"genre_Western";"genre_IMAX";"genre_Documentary";"genre_War";"genre_Musical";"genre_Children";"genre_Fantasy";"genre_Horror";"genre_Crime";"genre_Mystery";"user_547";"user_195";"user_384";"user_463";"user_all"
"1";1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;350;387,246963562753;387,246963562753;300;387,246963562753
"2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;340,18691588785;340,18691588785;340,18691588785;340,18691588785;340,18691588785
"3";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;316,101694915254;316,101694915254;316,101694915254;316,101694915254;316,101694915254
"4";0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;238,461538461538;238,461538461538;238,461538461538;238,461538461538;238,461538461538
"5";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;326,785714285714;326,785714285714;326,785714285714;326,785714285714;326,785714285714
"6";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;250;400;388,461538461538;388,461538461538;388,461538461538
"7";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;200;328,301886792453;328,301886792453;400;328,301886792453
"8";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;380;380;380;380;380
"9";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315;315;315;315;315
"10";1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;345,081967213115;345,081967213115;350;345,081967213115;345,081967213115
"11";0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;300;368,90243902439;368,90243902439;300;368,90243902439
"12";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;286,111111111111;286,111111111111;286,111111111111;286,111111111111;286,111111111111
"13";1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;393,75;393,75;393,75;393,75;393,75
"14";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;345,161290322581;345,161290322581;345,161290322581;345,161290322581
"15";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;231,818181818182;231,818181818182;231,818181818182;231,818181818182;231,818181818182
"16";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;400;394,886363636364;394,886363636364;394,886363636364;394,886363636364
"17";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;500;392,441860465116;392,441860465116;400;392,441860465116
"18";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328,846153846154;328,846153846154;328,846153846154;328,846153846154;328,846153846154
"19";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259,782608695652;259,782608695652;300;259,782608695652;259,782608695652
"20";0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;253,846153846154;253,846153846154;253,846153846154;253,846153846154;253,846153846154
"21";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;400;353,684210526316;353,684210526316;353,684210526316;353,684210526316
"22";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;335,526315789474;335,526315789474;335,526315789474;335,526315789474;335,526315789474
"23";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;309,090909090909;309,090909090909;300;309,090909090909;309,090909090909
"24";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;304,411764705882;304,411764705882;304,411764705882;200;304,411764705882
"25";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;450;300;374,257425742574;300;374,257425742574
"26";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410;410;410;410;410
"27";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;314,285714285714;314,285714285714;314,285714285714;314,285714285714;314,285714285714
"28";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;408,333333333333;408,333333333333;408,333333333333;408,333333333333;408,333333333333
"29";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;402,5;402,5;402,5;402,5;402,5
"30";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;405;405;405;405;405
"31";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317,857142857143;317,857142857143;317,857142857143;317,857142857143;317,857142857143
"32";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;400;392,34693877551;392,34693877551;400;392,34693877551
"33";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;400;400;300;360,135135135135;360,135135135135
"34";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;354,545454545455;354,545454545455;354,545454545455;354,545454545455;354,545454545455
"35";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;400;393,75;393,75;393,75;393,75
"36";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;200;200;200;200;200
"37";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;200;200;200;200;200
"38";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;300;300;355;300;355
"39";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391,666666666667;391,666666666667;391,666666666667;391,666666666667;391,666666666667
"40";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;402,173913043478;402,173913043478;402,173913043478;402,173913043478;402,173913043478
"41";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;233,333333333333;200;233,333333333333;233,333333333333;233,333333333333
